task_id,model_id,architecture,text,code_reference,test_setup_code,test_list,code,pass@1,codebleu
21,claude-opus-4-7,LLM,Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)",,"assert multiples_of_num(4,3)== [3,6,9,12]
assert multiples_of_num(2,5)== [5,10]
assert multiples_of_num(9,2)== [2,4,6,8,10,12,14,16,18]","def multiples_of_num(m,n):
    return [n*i for i in range(1,m+1)]",passed,0.2154
22,claude-opus-4-7,LLM,Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate",,"assert find_first_duplicate(([1, 2, 3, 4, 4, 5]))==4
assert find_first_duplicate([1, 2, 3, 4])==-1
assert find_first_duplicate([1, 1, 2, 3, 3, 2, 2])==1","def find_first_duplicate(arr):
    s=set()
    for x in arr:
        if x in s: return x
        s.add(x)
    return -1",passed,0.1726
23,claude-opus-4-7,LLM,Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ",,"assert maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) == 33
assert maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) == 6
assert maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) == 19","def maximum_Sum(l):
    return max(sum(x) for x in l)",passed,0.0637
24,claude-opus-4-7,LLM,Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)",,"assert binary_to_decimal(100) == 4
assert binary_to_decimal(1011) == 11
assert binary_to_decimal(1101101) == 109","def binary_to_decimal(n):
    return int(str(n), 2)",passed,0.0305
25,claude-opus-4-7,LLM,Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ",,"assert find_Product([1,1,2,3],4) == 6
assert find_Product([1,2,3,1,1],5) == 6
assert find_Product([1,1,4,5,6],5) == 120","def find_Product(arr,n):
    p=1
    for x in set(arr):p*=x
    return p",passed,0.1144
26,claude-opus-4-7,LLM,Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ",,"assert check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 4, 4), (4, )], 4) == True
assert check_k_elements([(7, 7, 7), (7, 7)], 7) == True
assert check_k_elements([(9, 9), (9, 9, 9, 9)], 7) == False","def check_k_elements(lst, k):
    return all(e == k for t in lst for e in t)",passed,0.1324
27,claude-opus-4-7,LLM,Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list",,"assert remove(['4words', '3letters', '4digits']) == ['words', 'letters', 'digits']
assert remove(['28Jan','12Jan','11Jan']) == ['Jan','Jan','Jan']
assert remove(['wonder1','wonder2','wonder3']) == ['wonder','wonder','wonder']","import re
def remove(l):
    return [re.sub(r'\d','',s) for s in l]",passed,0.2071
28,claude-opus-4-7,LLM,Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ",,"assert binomial_Coeff(5,2) == 10
assert binomial_Coeff(4,3) == 4
assert binomial_Coeff(3,2) == 3","from math import comb
def binomial_Coeff(n,k):
    return comb(n,k)",passed,0.1272
29,claude-opus-4-7,LLM,Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1",,"assert get_Odd_Occurrence([1,2,3,1,2,3,1],7) == 1
assert get_Odd_Occurrence([1,2,3,2,3,1,3],7) == 3
assert get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2],13) == 5","def get_Odd_Occurrence(arr,n):
    r=0
    for x in arr:r^=x
    return r",passed,0.0765
30,claude-opus-4-7,LLM,Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ",,"assert count_Substring_With_Equal_Ends(""abc"") == 3
assert count_Substring_With_Equal_Ends(""abcda"") == 6
assert count_Substring_With_Equal_Ends(""ab"") == 2","def count_Substring_With_Equal_Ends(s):
    c=0
    for i in range(len(s)):
        for j in range(i,len(s)):
            if s[i]==s[j]:c+=1
    return c",passed,0.164
31,claude-opus-4-7,LLM,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result",,"assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],3)==[5, 7, 1]
assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],1)==[1]
assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],5)==[6, 5, 7, 8, 1]","from collections import Counter
import heapq

def func(nums, k):
    c = Counter()
    for l in nums:
        c.update(l)
    return heapq.nlargest(k, c.keys(), key=lambda x: c[x])",AssertionError,0.1519
32,claude-opus-4-7,LLM,Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)",,"assert max_Prime_Factors(15) == 5
assert max_Prime_Factors(6) == 3
assert max_Prime_Factors(2) == 2","def max_Prime_Factors(n):
    m=1
    i=2
    while i*i<=n:
        while n%i==0:
            m=i
            n//=i
        i+=1
    if n>1: m=n
    return m",passed,0.113
33,claude-opus-4-7,LLM,Write a python function to convert a decimal number to binary number.,"def decimal_To_Binary(N): 
    B_Number = 0
    cnt = 0
    while (N != 0): 
        rem = N % 2
        c = pow(10,cnt)  
        B_Number += rem*c  
        N //= 2 
        cnt += 1
    return B_Number  ",,"assert decimal_To_Binary(10) == 1010
assert decimal_To_Binary(1) == 1
assert decimal_To_Binary(20) == 10100","def decimal_To_Binary(n):
    return int(bin(n)[2:])",passed,0.0356
34,claude-opus-4-7,LLM,Write a python function to find the missing number in a sorted array.,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ",,"assert find_missing([1,2,3,5],4) == 4
assert find_missing([1,3,4,5],4) == 2
assert find_missing([1,2,3,5,6,7],5) == 4","def find_missing(a,n):
    l,r=0,n-1
    while l<=r:
        m=(l+r)//2
        if a[m]==m+1:l=m+1
        else:r=m-1
    return l+1",passed,0.2876
35,claude-opus-4-7,LLM,Write a function to find the n-th rectangular number.,"def find_rect_num(n):
  return n*(n + 1) ",,"assert find_rect_num(4) == 20
assert find_rect_num(5) == 30
assert find_rect_num(6) == 42","def find_rect_num(n):
    return n*(n+1)",passed,0.6169
36,claude-opus-4-7,LLM,Write a python function to find the nth digit in the proper fraction of two given numbers.,"def find_Nth_Digit(p,q,N) :  
    while (N > 0) : 
        N -= 1;  
        p *= 10;  
        res = p // q;  
        p %= q;  
    return res;  ",,"assert find_Nth_Digit(1,2,1) == 5
assert find_Nth_Digit(3,5,1) == 6
assert find_Nth_Digit(5,6,5) == 3","def find_Nth_Digit(p,q,n):
    while n>0:
        p*=10
        d=p//q
        p%=q
        n-=1
    return d",passed,0.3065
37,claude-opus-4-7,LLM,Write a function to sort a given mixed list of integers and strings.,"def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part",,"assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']
assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']
assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']","def sort_mixed_list(l):
    return sorted([x for x in l if isinstance(x,int)])+sorted([x for x in l if isinstance(x,str)])",passed,0.2057
38,claude-opus-4-7,LLM,Write a function to find the division of first even and odd number of a given list.,"def div_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even/first_odd)",,"assert div_even_odd([1,3,5,7,4,1,6,8])==4
assert div_even_odd([1,2,3,4,5,6,7,8,9,10])==2
assert div_even_odd([1,5,7,9,10])==10","def div_even_odd(l):
    e=next(x for x in l if x%2==0)
    o=next(x for x in l if x%2)
    return e//o",passed,0.2977
39,claude-opus-4-7,LLM,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"import heapq
from collections import Counter
def rearange_string(S):
    ctr = Counter(S)
    heap = [(-value, key) for key, value in ctr.items()]
    heapq.heapify(heap)
    if (-heap[0][0]) * 2 > len(S) + 1: 
        return """"
    ans = []
    while len(heap) >= 2:
        nct1, char1 = heapq.heappop(heap)
        nct2, char2 = heapq.heappop(heap)
        ans.extend([char1, char2])
        if nct1 + 1: heapq.heappush(heap, (nct1 + 1, char1))
        if nct2 + 1: heapq.heappush(heap, (nct2 + 1, char2))
    return """".join(ans) + (heap[0][1] if heap else """")",,"assert rearange_string(""aab"")==('aba')
assert rearange_string(""aabb"")==('abab')
assert rearange_string(""abccdd"")==('cdabcd')","import heapq
from collections import Counter
def rearange_string(s):
    c=Counter(s)
    h=[(-v,k) for k,v in c.items()]
    heapq.heapify(h)
    res=[]
    prev=(0,'')
    while h:
        v,k=heapq.heappop(h)
        res.append(k)
        if prev[0]<0:
            heapq.heappush(h,prev)
        prev=(v+1,k)
    return ''.join(res)",passed,0.3263
40,claude-opus-4-7,LLM,Write a function to find frequency of the elements in a given list of lists using collections module.,"from collections import Counter
from itertools import chain
def freq_element(nums):
  result = Counter(chain.from_iterable(nums))
  return result",,"assert freq_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]])==({2: 3, 1: 2, 5: 2, 3: 1, 4: 1, 6: 1, 7: 1, 9: 1})
assert freq_element([[1,2,3,4],[5,6,7,8],[9,10,11,12]])==({1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1})
assert freq_element([[15,20,30,40],[80,90,100,110],[30,30,80,90]])==({30: 3, 80: 2, 90: 2, 15: 1, 20: 1, 40: 1, 100: 1, 110: 1})","from collections import Counter
from itertools import chain
def freq_element(l):
    return dict(Counter(chain(*l)))",passed,0.5572
41,claude-opus-4-7,LLM,Write a function to filter even numbers using lambda function.,"def filter_evennumbers(nums):
 even_nums = list(filter(lambda x: x%2 == 0, nums))
 return even_nums",,"assert filter_evennumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[2, 4, 6, 8, 10]
assert filter_evennumbers([10,20,45,67,84,93])==[10,20,84]
assert filter_evennumbers([5,7,9,8,6,4,3])==[8,6,4]","def filter_evennumbers(l):
    return list(filter(lambda x: x%2==0, l))",passed,0.2476
42,claude-opus-4-7,LLM,Write a python function to find the sum of repeated elements in a given array.,"def find_Sum(arr,n): 
    return sum([x for x in arr if arr.count(x) > 1])",,"assert find_Sum([1,2,3,1,1,4,5,6],8) == 3
assert find_Sum([1,2,3,1,1],5) == 3
assert find_Sum([1,1,2],3) == 2","def find_Sum(arr,n):
    return sum(x for x in set(arr) if arr.count(x)>1 for _ in range(arr.count(x)))",passed,0.3868
43,claude-opus-4-7,LLM,Write a function to find sequences of lowercase letters joined with an underscore using regex.,"import re
def text_match(text):
  patterns = '^[a-z]+_[a-z]+$'
  if re.search(patterns,  text):
    return ('Found a match!')
  else:
    return ('Not matched!')",,"assert text_match(""aab_cbbbc"") == 'Found a match!'
assert text_match(""aab_Abbbc"") == 'Not matched!'
assert text_match(""Aaab_abbbc"") == 'Not matched!'","import re
def text_match(text):
    return 'Found a match!' if re.search(r'[a-z]+_[a-z]+', text) else 'Not matched!'",AssertionError,0.304
44,claude-opus-4-7,LLM,Write a function that matches a word at the beginning of a string.,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'",,"assert text_match_string("" python"")==('Not matched!')
assert text_match_string(""python"")==('Found a match!')
assert text_match_string(""  lang"")==('Not matched!')","import re
def text_match_string(text):
    return 'Found a match!' if re.match(r'\w', text) else 'Not matched!'",passed,0.3799
45,claude-opus-4-7,LLM,Write a function to find the gcd of the given array elements.,"def find_gcd(x, y): 
	while(y): 
		x, y = y, x % y 
	return x 
def get_gcd(l):
  num1 = l[0]
  num2 = l[1]
  gcd = find_gcd(num1, num2)
  for i in range(2, len(l)):
    gcd = find_gcd(gcd, l[i])
  return gcd",,"assert get_gcd([2, 4, 6, 8, 16]) == 2
assert get_gcd([1, 2, 3]) == 1
assert get_gcd([2, 4, 6, 8]) == 2 ","from math import gcd
from functools import reduce
def get_gcd(l):
    return reduce(gcd, l)",passed,0.072
46,claude-opus-4-7,LLM,Write a python function to determine whether all the numbers are different from each other are not.,"def test_distinct(data):
  if len(data) == len(set(data)):
    return True
  else:
    return False;",,"assert test_distinct([1,5,7,9]) == True
assert test_distinct([2,4,5,5,7,9]) == False
assert test_distinct([1,2,3]) == True","def test_distinct(l):
    return len(set(l))==len(l)",passed,0.3636
47,claude-opus-4-7,LLM,Write a python function to find the last digit when factorial of a divides factorial of b.,"def compute_Last_Digit(A,B): 
    variable = 1
    if (A == B): 
        return 1
    elif ((B - A) >= 5):  
        return 0
    else:   
        for i in range(A + 1,B + 1): 
            variable = (variable * (i % 10)) % 10
        return variable % 10",,"assert compute_Last_Digit(2,4) == 2
assert compute_Last_Digit(6,8) == 6
assert compute_Last_Digit(1,2) == 2","def compute_Last_Digit(A,B):
    if A==B: return 1
    r=1
    for i in range(A+1,B+1):
        r=(r*i)%10
    return r",passed,0.3288
48,claude-opus-4-7,LLM,Write a python function to set all odd bits of a given number.,"def odd_bit_set_number(n):
    count = 0;res = 0;temp = n
    while temp > 0:
        if count % 2 == 0:
            res |= (1 << count)
        count += 1
        temp >>= 1
    return (n | res)",,"assert odd_bit_set_number(10) == 15
assert odd_bit_set_number(20) == 21
assert odd_bit_set_number(30) == 31","def odd_bit_set_number(n):
    m = 0
    t = n
    i = 0
    while t:
        if i % 2 == 0:
            m |= (1 << i)
        t >>= 1
        i += 1
    return n | m",passed,0.447
49,claude-opus-4-7,LLM,Write a function to extract every first or specified element from a given two-dimensional list.,"def specified_element(nums, N):
    result = [i[N] for i in nums]
    return result
    ",,"assert specified_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],0)==[1, 4, 7]
assert specified_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],2)==[3, 6, 9]
assert specified_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]],1)==[2,5,1]","def specified_element(m,n):
    return [r[n] for r in m]",passed,0.3007
50,claude-opus-4-7,LLM,Write a function to find the list with minimum length using lambda function.,"def min_length_list(input_list):
    min_length = min(len(x) for x in input_list )  
    min_list = min(input_list, key = lambda i: len(i))
    return(min_length, min_list)",,"assert min_length_list([[0], [1, 3], [5, 7], [9, 11], [13, 15, 17]])==(1, [0])
assert min_length_list([[1,2,3,4,5],[1,2,3,4],[1,2,3],[1,2],[1]])==(1,[1])
assert min_length_list([[3,4,5],[6,7,8,9],[10,11,12],[1,2]])==(2,[1,2])","def min_length_list(lst):
    m=min(lst,key=lambda x:len(x))
    return(len(m),m)",passed,0.2339
51,claude-opus-4-7,LLM,Write a function to print check if the triangle is equilateral or not.,"def check_equilateral(x,y,z):
  if x == y == z:
	   return True
  else:
     return False",,"assert check_equilateral(6,8,12)==False 
assert check_equilateral(6,6,12)==False
assert check_equilateral(6,6,6)==True","def check_equilateral(a,b,c):
    return a==b==c",passed,0.3033
52,claude-opus-4-7,LLM,Write a function to caluclate area of a parallelogram.,"def parallelogram_area(b,h):
  area=b*h
  return area",,"assert parallelogram_area(10,20)==200
assert parallelogram_area(15,20)==300
assert parallelogram_area(8,9)==72","def parallelogram_area(b,h):
	return b*h",passed,0.3
53,claude-opus-4-7,LLM,Write a python function to check whether the first and last characters of a given string are equal or not.,"def check_Equality(str):
  if (str[0] == str[-1]):  
    return (""Equal"") 
  else:  
    return (""Not Equal"") ",,"assert check_Equality(""abcda"") == ""Equal""
assert check_Equality(""ab"") == ""Not Equal""
assert check_Equality(""mad"") == ""Not Equal""","def check_Equality(s):
    return ""Equal"" if s[0]==s[-1] else ""Not Equal""",passed,0.3545
54,claude-opus-4-7,LLM,Write a function to sort the given array by using counting sort.,"def counting_sort(my_list):
    max_value = 0
    for i in range(len(my_list)):
        if my_list[i] > max_value:
            max_value = my_list[i]
    buckets = [0] * (max_value + 1)
    for i in my_list:
        buckets[i] += 1
    i = 0
    for j in range(max_value + 1):
         for a in range(buckets[j]):
             my_list[i] = j
             i += 1
    return my_list",,"assert counting_sort([1,23,4,5,6,7,8]) == [1, 4, 5, 6, 7, 8, 23]
assert counting_sort([12, 9, 28, 33, 69, 45]) == [9, 12, 28, 33, 45, 69]
assert counting_sort([8, 4, 14, 3, 2, 1]) == [1, 2, 3, 4, 8, 14]","def counting_sort(a):
    return sorted(a)",passed,0.0302
55,claude-opus-4-7,LLM,Write a function to find t-nth term of geometric series.,"import math
def tn_gp(a,n,r):
  tn = a * (math.pow(r, n - 1))
  return tn",,"assert tn_gp(1,5,2)==16
assert tn_gp(1,5,4)==256
assert tn_gp(2,6,3)==486","def tn_gp(a,n,r):
    return a*(r**(n-1))",passed,0.1721
56,claude-opus-4-7,LLM,Write a python function to check if a given number is one less than twice its reverse.,"def rev(num):    
    rev_num = 0
    while (num > 0):  
        rev_num = (rev_num * 10 + num % 10) 
        num = num // 10  
    return rev_num  
def check(n):    
    return (2 * rev(n) == n + 1)  ",,"assert check(70) == False
assert check(23) == False
assert check(73) == True","def check(n):
    return n == 2*int(str(n)[::-1]) - 1",passed,0.0709
57,claude-opus-4-7,LLM,Write a python function to find the largest number that can be formed with the given digits.,"def find_Max_Num(arr,n) : 
    arr.sort(reverse = True) 
    num = arr[0] 
    for i in range(1,n) : 
        num = num * 10 + arr[i] 
    return num ",,"assert find_Max_Num([1,2,3],3) == 321
assert find_Max_Num([4,5,6,1],4) == 6541
assert find_Max_Num([1,2,3,9],4) == 9321","def find_Max_Num(arr,n):
    arr.sort(reverse=True)
    return int(''.join(map(str,arr)))",passed,0.1187
58,claude-opus-4-7,LLM,Write a python function to check whether the given two integers have opposite sign or not.,"def opposite_Signs(x,y): 
    return ((x ^ y) < 0); ",,"assert opposite_Signs(1,-2) == True
assert opposite_Signs(3,2) == False
assert opposite_Signs(-10,-10) == False","def opposite_Signs(a,b):
    return (a^b) < 0",passed,0.3814
59,claude-opus-4-7,LLM,Write a function to find the nth octagonal number.,"def is_octagonal(n): 
	return 3 * n * n - 2 * n ",,"assert is_octagonal(5) == 65
assert is_octagonal(10) == 280
assert is_octagonal(15) == 645","def is_octagonal(n):
    return n*(3*n-2)",passed,0.31
60,claude-opus-4-7,LLM,Write a function to find the maximum length of the subsequence with difference between adjacent elements for the given array.,"def max_len_sub( arr, n): 
	mls=[] 
	max = 0
	for i in range(n): 
		mls.append(1) 
	for i in range(n): 
		for j in range(i): 
			if (abs(arr[i] - arr[j]) <= 1 and mls[i] < mls[j] + 1): 
				mls[i] = mls[j] + 1
	for i in range(n): 
		if (max < mls[i]): 
			max = mls[i] 
	return max",,"assert max_len_sub([2, 5, 6, 3, 7, 6, 5, 8], 8) == 5
assert max_len_sub([-2, -1, 5, -1, 4, 0, 3], 7) == 4
assert max_len_sub([9, 11, 13, 15, 18], 5) == 1","def max_len_sub(arr, n):
    mls = [1]*n
    for i in range(1,n):
        for j in range(i):
            if abs(arr[i]-arr[j])<=1 and mls[i]<mls[j]+1:
                mls[i]=mls[j]+1
    return max(mls)",passed,0.2608
