task_id,model_id,architecture,text,code_reference,test_setup_code,test_list,code,pass@1,codebleu
21,ministral-8b-latest,SLM,Write a function to find m number of multiples of n.,"def multiples_of_num(m,n): 
    multiples_of_num= list(range(n,(m+1)*n, n)) 
    return list(multiples_of_num)",,"assert multiples_of_num(4,3)== [3,6,9,12]
assert multiples_of_num(2,5)== [5,10]
assert multiples_of_num(9,2)== [2,4,6,8,10,12,14,16,18]","def multiples_of_num(n: int, m: int) -> list[int]:
    return [i * n for i in range(1, m + 1)]

# Non sono necessari altri import per questa soluzione",AssertionError,0.1965
22,ministral-8b-latest,SLM,Write a function to find the first duplicate element in a given array of integers.,"def find_first_duplicate(nums):
    num_set = set()
    no_duplicate = -1

    for i in range(len(nums)):

        if nums[i] in num_set:
            return nums[i]
        else:
            num_set.add(nums[i])

    return no_duplicate",,"assert find_first_duplicate(([1, 2, 3, 4, 4, 5]))==4
assert find_first_duplicate([1, 2, 3, 4])==-1
assert find_first_duplicate([1, 1, 2, 3, 3, 2, 2])==1","from typing import Union, List

def find_first_duplicate(arr: Union[List[int], tuple]) -> int:
    seen = set()
    for num in arr:
        if num in seen:
            return num
        seen.add(num)
    return -1",passed,0.1831
23,ministral-8b-latest,SLM,Write a python function to find the maximum sum of elements of list in a list of lists.,"def maximum_Sum(list1): 
    maxi = -100000
    for x in list1: 
        sum = 0 
        for y in x: 
            sum+= y      
        maxi = max(sum,maxi)     
    return maxi ",,"assert maximum_Sum([[1,2,3],[4,5,6],[10,11,12],[7,8,9]]) == 33
assert maximum_Sum([[0,1,1],[1,1,2],[3,2,1]]) == 6
assert maximum_Sum([[0,1,3],[1,2,1],[9,8,2],[0,1,0],[6,4,8]]) == 19","def maximum_Sum(lists):
    max_sum = 0
    for sublist in lists:
        current_sum = sum(sublist)
        if current_sum > max_sum:
            max_sum = current_sum
    return max_sum",passed,0.2182
24,ministral-8b-latest,SLM,Write a function to convert the given binary number to its decimal equivalent.,"def binary_to_decimal(binary): 
    binary1 = binary 
    decimal, i, n = 0, 0, 0
    while(binary != 0): 
        dec = binary % 10
        decimal = decimal + dec * pow(2, i) 
        binary = binary//10
        i += 1
    return (decimal)",,"assert binary_to_decimal(100) == 4
assert binary_to_decimal(1011) == 11
assert binary_to_decimal(1101101) == 109","def binary_to_decimal(binary_str: str) -> int:
    return int(binary_str, 2)",TypeError,0.0224
25,ministral-8b-latest,SLM,Write a python function to find the product of non-repeated elements in a given array.,"def find_Product(arr,n): 
    arr.sort() 
    prod = 1
    for i in range(0,n,1): 
        if (arr[i - 1] != arr[i]): 
            prod = prod * arr[i] 
    return prod; ",,"assert find_Product([1,1,2,3],4) == 6
assert find_Product([1,2,3,1,1],5) == 6
assert find_Product([1,1,4,5,6],5) == 120","from collections import defaultdict

def find_Product(arr, k):
    freq = defaultdict(int)
    for num in arr:
        freq[num] += 1

    product = 1
    for num in freq:
        if freq[num] == 1:
            product *= num

    return product if product <= k else 0",AssertionError,0.1498
26,ministral-8b-latest,SLM,Write a function to check if the given tuple list has all k elements.,"def check_k_elements(test_list, K):
  res = True
  for tup in test_list:
    for ele in tup:
      if ele != K:
        res = False
  return (res) ",,"assert check_k_elements([(4, 4), (4, 4, 4), (4, 4), (4, 4, 4, 4), (4, )], 4) == True
assert check_k_elements([(7, 7, 7), (7, 7)], 7) == True
assert check_k_elements([(9, 9), (9, 9, 9, 9)], 7) == False","from typing import List, Tuple

def check_k_elements(tuples_list: List[Tuple], k: int) -> bool:
    return all(len(t) >= 2 and all(x == k for x in t) for t in tuples_list)",AssertionError,0.175
27,ministral-8b-latest,SLM,Write a python function to remove all digits from a list of strings.,"import re  
def remove(list): 
    pattern = '[0-9]'
    list = [re.sub(pattern, '', i) for i in list] 
    return list",,"assert remove(['4words', '3letters', '4digits']) == ['words', 'letters', 'digits']
assert remove(['28Jan','12Jan','11Jan']) == ['Jan','Jan','Jan']
assert remove(['wonder1','wonder2','wonder3']) == ['wonder','wonder','wonder']","import re

def remove(strings):
    return [re.sub(r'\d+', '', s) for s in strings]",passed,0.2091
28,ministral-8b-latest,SLM,Write a python function to find binomial co-efficient.,"def binomial_Coeff(n,k): 
    if k > n : 
       return 0
    if k==0 or k ==n : 
        return 1 
    return binomial_Coeff(n-1,k-1) + binomial_Coeff(n-1,k) ",,"assert binomial_Coeff(5,2) == 10
assert binomial_Coeff(4,3) == 4
assert binomial_Coeff(3,2) == 3","def binomial_Coeff(n: int, k: int) -> int:
    if k < 0 or k > n:
        return 0
    k = min(k, n - k)
    result = 1
    for i in range(1, k + 1):
        result = result * (n - k + i) // i
    return result",passed,0.3604
29,ministral-8b-latest,SLM,Write a python function to find the element occurring odd number of times.,"def get_Odd_Occurrence(arr,arr_size):   
    for i in range(0,arr_size): 
        count = 0
        for j in range(0,arr_size): 
            if arr[i] == arr[j]: 
                count+=1     
        if (count % 2 != 0): 
            return arr[i]     
    return -1",,"assert get_Odd_Occurrence([1,2,3,1,2,3,1],7) == 1
assert get_Odd_Occurrence([1,2,3,2,3,1,3],7) == 3
assert get_Odd_Occurrence([2,3,5,4,5,2,4,3,5,2,4,4,2],13) == 5","from collections import defaultdict

def get_Odd_Occurrence(arr, target):
    freq = defaultdict(int)
    for num in arr:
        freq[num] += 1
    for num in freq:
        if freq[num] % 2 != 0 and num == target:
            return num
    return None",AssertionError,0.1635
30,ministral-8b-latest,SLM,Write a python function to count all the substrings starting and ending with same characters.,"def check_Equality(s): 
    return (ord(s[0]) == ord(s[len(s) - 1])); 
def count_Substring_With_Equal_Ends(s): 
    result = 0; 
    n = len(s); 
    for i in range(n): 
        for j in range(1,n-i+1):  
            if (check_Equality(s[i:i+j])): 
                result+=1; 
    return result; ",,"assert count_Substring_With_Equal_Ends(""abc"") == 3
assert count_Substring_With_Equal_Ends(""abcda"") == 6
assert count_Substring_With_Equal_Ends(""ab"") == 2","def count_Substring_With_Equal_Ends(s: str) -> int:
    count = 0
    n = len(s)
    for i in range(n):
        for j in range(i, n):
            if s[i] == s[j]:
                count += 1
    return count",passed,0.2743
31,ministral-8b-latest,SLM,Write a function to find the top k integers that occur most frequently from given lists of sorted and distinct integers using heap queue algorithm.,"def func(nums, k):
    import collections
    d = collections.defaultdict(int)
    for row in nums:
        for i in row:
            d[i] += 1
    temp = []
    import heapq
    for key, v in d.items():
        if len(temp) < k:
            temp.append((v, key))
            if len(temp) == k:
                heapq.heapify(temp)
        else:
            if v > temp[0][0]:
                heapq.heappop(temp)
                heapq.heappush(temp, (v, key))
    result = []
    while temp:
        v, key = heapq.heappop(temp)
        result.append(key)
    return result",,"assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],3)==[5, 7, 1]
assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],1)==[1]
assert func([[1, 2, 6], [1, 3, 4, 5, 7, 8], [1, 3, 5, 6, 8, 9], [2, 5, 7, 11], [1, 4, 7, 8, 12]],5)==[6, 5, 7, 8, 1]","import heapq
from collections import defaultdict

def func(lists, k):
    frequency = defaultdict(int)

    for lst in lists:
        for num in lst:
            frequency[num] += 1

    heap = []
    for num, count in frequency.items():
        heapq.heappush(heap, (-count, num))

    result = []
    for _ in range(k):
        if heap:
            count, num = heapq.heappop(heap)
            result.append(num)

    return sorted(result, reverse=True)",AssertionError,0.2975
32,ministral-8b-latest,SLM,Write a python function to find the largest prime factor of a given number.,"import math 
def max_Prime_Factors (n): 
    maxPrime = -1 
    while n%2 == 0: 
        maxPrime = 2
        n >>= 1    
    for i in range(3,int(math.sqrt(n))+1,2): 
        while n % i == 0: 
            maxPrime = i 
            n = n / i 
    if n > 2: 
        maxPrime = n  
    return int(maxPrime)",,"assert max_Prime_Factors(15) == 5
assert max_Prime_Factors(6) == 3
assert max_Prime_Factors(2) == 2","import math

def max_Prime_Factors(n: int) -> int:
    if n <= 1:
        return 0

    max_prime = -1

    # Check for divisibility by 2
    while n % 2 == 0:
        max_prime = 2
        n = n // 2

    # Check for odd divisors up to sqrt(n)
    i = 3
    max_factor = math.isqrt(n) + 1
    while i <= max_factor:
        while n % i == 0:
            max_prime = i
            n = n // i
            max_factor = math.isqrt(n) + 1
        i += 2

    if n > 2:
        max_prime = n

    return max_prime",passed,0.3998
33,ministral-8b-latest,SLM,Write a python function to convert a decimal number to binary number.,"def decimal_To_Binary(N): 
    B_Number = 0
    cnt = 0
    while (N != 0): 
        rem = N % 2
        c = pow(10,cnt)  
        B_Number += rem*c  
        N //= 2 
        cnt += 1
    return B_Number  ",,"assert decimal_To_Binary(10) == 1010
assert decimal_To_Binary(1) == 1
assert decimal_To_Binary(20) == 10100","def decimal_To_Binary(n: int) -> str:
    if n == 0:
        return ""0""
    binary = []
    while n > 0:
        binary.append(str(n % 2))
        n = n // 2
    return ''.join(reversed(binary))",AssertionError,0.1257
34,ministral-8b-latest,SLM,Write a python function to find the missing number in a sorted array.,"def find_missing(ar,N): 
    l = 0
    r = N - 1
    while (l <= r):  
        mid = (l + r) / 2
        mid= int (mid) 
        if (ar[mid] != mid + 1 and ar[mid - 1] == mid): 
            return (mid + 1)  
        elif (ar[mid] != mid + 1): 
            r = mid - 1 
        else: 
            l = mid + 1
    return (-1) ",,"assert find_missing([1,2,3,5],4) == 4
assert find_missing([1,3,4,5],4) == 2
assert find_missing([1,2,3,5,6,7],5) == 4","def find_missing(arr, n):
    left, right = 0, len(arr) - 1
    while left <= right:
        mid = (left + right) // 2
        if arr[mid] == mid + 1:
            left = mid + 1
        else:
            if mid == 0 or arr[mid - 1] == mid:
                return mid + 1
            right = mid - 1
    return n

# Test cases
assert find_missing([1,2,3,5],4) == 4
assert find_missing([1,3,4,5],4) == 2
assert find_missing([1,2,3,5,6,7],5) == 4",passed,0.297
35,ministral-8b-latest,SLM,Write a function to find the n-th rectangular number.,"def find_rect_num(n):
  return n*(n + 1) ",,"assert find_rect_num(4) == 20
assert find_rect_num(5) == 30
assert find_rect_num(6) == 42","def find_rect_num(n: int) -> int:
    return n * (n + 1) // 2

# Non sono necessari altri import per questa soluzione",AssertionError,0.3765
36,ministral-8b-latest,SLM,Write a python function to find the nth digit in the proper fraction of two given numbers.,"def find_Nth_Digit(p,q,N) :  
    while (N > 0) : 
        N -= 1;  
        p *= 10;  
        res = p // q;  
        p %= q;  
    return res;  ",,"assert find_Nth_Digit(1,2,1) == 5
assert find_Nth_Digit(3,5,1) == 6
assert find_Nth_Digit(5,6,5) == 3","def find_Nth_Digit(numerator: int, denominator: int, nth: int) -> int:
    from fractions import Fraction

    fraction = Fraction(numerator, denominator)
    decimal_str = ""{0:.100f}"".format(fraction).rstrip('0').rstrip('.')
    if '.' in decimal_str:
        decimal_part = decimal_str.split('.')[1]
        if nth <= len(decimal_part):
            return int(decimal_part[nth - 1])
    return -1

# Test cases
assert find_Nth_Digit(1, 2, 1) == 5
assert find_Nth_Digit(3, 5, 1) == 6
assert find_Nth_Digit(5, 6, 5) == 3",passed,0.1774
37,ministral-8b-latest,SLM,Write a function to sort a given mixed list of integers and strings.,"def sort_mixed_list(mixed_list):
    int_part = sorted([i for i in mixed_list if type(i) is int])
    str_part = sorted([i for i in mixed_list if type(i) is str])
    return int_part + str_part",,"assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']
assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']
assert sort_mixed_list([19,'red',12,'green','blue', 10,'white','green',1])==[1, 10, 12, 19, 'blue', 'green', 'green', 'red', 'white']","from typing import List, Union

def sort_mixed_list(mixed_list: List[Union[int, str]]) -> List[Union[int, str]]:
    return sorted(mixed_list, key=lambda x: (isinstance(x, int), x))",AssertionError,0.1359
38,ministral-8b-latest,SLM,Write a function to find the division of first even and odd number of a given list.,"def div_even_odd(list1):
    first_even = next((el for el in list1 if el%2==0),-1)
    first_odd = next((el for el in list1 if el%2!=0),-1)
    return (first_even/first_odd)",,"assert div_even_odd([1,3,5,7,4,1,6,8])==4
assert div_even_odd([1,2,3,4,5,6,7,8,9,10])==2
assert div_even_odd([1,5,7,9,10])==10","from typing import List

def div_even_odd(numbers: List[int]) -> int:
    evens = [num for num in numbers if num % 2 == 0]
    odds = [num for num in numbers if num % 2 != 0]

    if not evens or not odds:
        return 0

    first_even = evens[0]
    first_odd = odds[0]

    return first_even // first_odd",passed,0.2271
39,ministral-8b-latest,SLM,Write a function to check if the letters of a given string can be rearranged so that two characters that are adjacent to each other are different.,"import heapq
from collections import Counter
def rearange_string(S):
    ctr = Counter(S)
    heap = [(-value, key) for key, value in ctr.items()]
    heapq.heapify(heap)
    if (-heap[0][0]) * 2 > len(S) + 1: 
        return """"
    ans = []
    while len(heap) >= 2:
        nct1, char1 = heapq.heappop(heap)
        nct2, char2 = heapq.heappop(heap)
        ans.extend([char1, char2])
        if nct1 + 1: heapq.heappush(heap, (nct1 + 1, char1))
        if nct2 + 1: heapq.heappush(heap, (nct2 + 1, char2))
    return """".join(ans) + (heap[0][1] if heap else """")",,"assert rearange_string(""aab"")==('aba')
assert rearange_string(""aabb"")==('abab')
assert rearange_string(""abccdd"")==('cdabcd')","from collections import Counter
from heapq import heappop, heappush

def rearange_string(s: str) -> str:
    if not s:
        return """"

    count = Counter(s)
    max_heap = []
    for char, freq in count.items():
        heappush(max_heap, (-freq, char))

    result = []
    prev_freq, prev_char = 0, ''

    while max_heap:
        curr_freq, curr_char = heappop(max_heap)
        result.append(curr_char)
        curr_freq += 1

        if prev_freq < 0:
            heappush(max_heap, (prev_freq, prev_char))

        prev_freq, prev_char = curr_freq, curr_char

    return ''.join(result)",passed,0.2552
40,ministral-8b-latest,SLM,Write a function to find frequency of the elements in a given list of lists using collections module.,"from collections import Counter
from itertools import chain
def freq_element(nums):
  result = Counter(chain.from_iterable(nums))
  return result",,"assert freq_element([[1, 2, 3, 2], [4, 5, 6, 2], [7, 1, 9, 5]])==({2: 3, 1: 2, 5: 2, 3: 1, 4: 1, 6: 1, 7: 1, 9: 1})
assert freq_element([[1,2,3,4],[5,6,7,8],[9,10,11,12]])==({1: 1, 2: 1, 3: 1, 4: 1, 5: 1, 6: 1, 7: 1, 8: 1, 9: 1, 10: 1, 11: 1, 12: 1})
assert freq_element([[15,20,30,40],[80,90,100,110],[30,30,80,90]])==({30: 3, 80: 2, 90: 2, 15: 1, 20: 1, 40: 1, 100: 1, 110: 1})","from collections import defaultdict

def freq_element(lists):
    frequency = defaultdict(int)
    for lst in lists:
        for element in lst:
            frequency[element] += 1
    return dict(frequency)",passed,0.3118
41,ministral-8b-latest,SLM,Write a function to filter even numbers using lambda function.,"def filter_evennumbers(nums):
 even_nums = list(filter(lambda x: x%2 == 0, nums))
 return even_nums",,"assert filter_evennumbers([1, 2, 3, 4, 5, 6, 7, 8, 9, 10])==[2, 4, 6, 8, 10]
assert filter_evennumbers([10,20,45,67,84,93])==[10,20,84]
assert filter_evennumbers([5,7,9,8,6,4,3])==[8,6,4]","from typing import List

def filter_evennumbers(numbers: List[int]) -> List[int]:
    return list(filter(lambda x: x % 2 == 0, numbers))",passed,0.3076
42,ministral-8b-latest,SLM,Write a python function to find the sum of repeated elements in a given array.,"def find_Sum(arr,n): 
    return sum([x for x in arr if arr.count(x) > 1])",,"assert find_Sum([1,2,3,1,1,4,5,6],8) == 3
assert find_Sum([1,2,3,1,1],5) == 3
assert find_Sum([1,1,2],3) == 2","from collections import defaultdict

def find_Sum(arr, k):
    freq = defaultdict(int)
    for num in arr:
        freq[num] += 1

    total = 0
    for num, count in freq.items():
        if count >= 2:
            total += num * (count - 1)

    return min(total, k)",AssertionError,0.1878
43,ministral-8b-latest,SLM,Write a function to find sequences of lowercase letters joined with an underscore using regex.,"import re
def text_match(text):
  patterns = '^[a-z]+_[a-z]+$'
  if re.search(patterns,  text):
    return ('Found a match!')
  else:
    return ('Not matched!')",,"assert text_match(""aab_cbbbc"") == 'Found a match!'
assert text_match(""aab_Abbbc"") == 'Not matched!'
assert text_match(""Aaab_abbbc"") == 'Not matched!'","import re

def text_match(text: str) -> str:
    pattern = r'^[a-z]+_[a-z]+$'
    return 'Found a match!' if re.fullmatch(pattern, text) else 'Not matched!'",passed,0.3254
44,ministral-8b-latest,SLM,Write a function that matches a word at the beginning of a string.,"import re
def text_match_string(text):
        patterns = '^\w+'
        if re.search(patterns,  text):
                return 'Found a match!'
        else:
                return 'Not matched!'",,"assert text_match_string("" python"")==('Not matched!')
assert text_match_string(""python"")==('Found a match!')
assert text_match_string(""  lang"")==('Not matched!')","def text_match_string(s: str) -> str:
    return 'Found a match!' if s.strip().startswith('python') else 'Not matched!'",AssertionError,0.278
45,ministral-8b-latest,SLM,Write a function to find the gcd of the given array elements.,"def find_gcd(x, y): 
	while(y): 
		x, y = y, x % y 
	return x 
def get_gcd(l):
  num1 = l[0]
  num2 = l[1]
  gcd = find_gcd(num1, num2)
  for i in range(2, len(l)):
    gcd = find_gcd(gcd, l[i])
  return gcd",,"assert get_gcd([2, 4, 6, 8, 16]) == 2
assert get_gcd([1, 2, 3]) == 1
assert get_gcd([2, 4, 6, 8]) == 2 ","import math
from functools import reduce

def get_gcd(arr):
    return reduce(math.gcd, arr)",passed,0.056
46,ministral-8b-latest,SLM,Write a python function to determine whether all the numbers are different from each other are not.,"def test_distinct(data):
  if len(data) == len(set(data)):
    return True
  else:
    return False;",,"assert test_distinct([1,5,7,9]) == True
assert test_distinct([2,4,5,5,7,9]) == False
assert test_distinct([1,2,3]) == True","def test_distinct(numbers):
    return len(numbers) == len(set(numbers))",passed,0.3801
47,ministral-8b-latest,SLM,Write a python function to find the last digit when factorial of a divides factorial of b.,"def compute_Last_Digit(A,B): 
    variable = 1
    if (A == B): 
        return 1
    elif ((B - A) >= 5):  
        return 0
    else:   
        for i in range(A + 1,B + 1): 
            variable = (variable * (i % 10)) % 10
        return variable % 10",,"assert compute_Last_Digit(2,4) == 2
assert compute_Last_Digit(6,8) == 6
assert compute_Last_Digit(1,2) == 2","import math

def compute_Last_Digit(a: int, b: int) -> int:
    if a > b:
        return compute_Last_Digit(b, a)
    return (math.factorial(b) // math.factorial(a)) % 10",passed,0.1384
48,ministral-8b-latest,SLM,Write a python function to set all odd bits of a given number.,"def odd_bit_set_number(n):
    count = 0;res = 0;temp = n
    while temp > 0:
        if count % 2 == 0:
            res |= (1 << count)
        count += 1
        temp >>= 1
    return (n | res)",,"assert odd_bit_set_number(10) == 15
assert odd_bit_set_number(20) == 21
assert odd_bit_set_number(30) == 31","def odd_bit_set_number(n: int) -> int:
    return n | ((1 << (n.bit_length() + 1)) - 1) & ~((1 << (n.bit_length() + 1)) - 1) | ((1 << (n.bit_length() + 1)) - 1)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    return (n | ((1 << (n.bit_length() + 1)) - 1)) & ~(n & ~((1 << (n.bit_length() + 1)) - 1))

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    return (n | ((1 << (n.bit_length())) - 1)) & ~(n & ~((1 << (n.bit_length())) - 1))

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    return (n | ((1 << (n.bit_length() + 1)) - 1)) & ~(n & ~((1 << (n.bit_length() + 1)) - 1))

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)

def odd_bit_set_number(n: int) -> int:
    return (n | ((1 << (n.bit_length() + 1)) - 1)) & ~(n & ~((1 << (n.bit_length() + 1)) - 1))

def odd_bit_set_number(n: int) -> int:
    mask = (1 << (n.bit_length() + 1)) - 1
    return n | (mask & ~n)",AssertionError,0.11
