benchmark,task_id,risolto_deepseek-v4-pro,risolto_ministral-8b
multipl-e,go/HumanEval_91_is_bored,True,False
multipl-e,go/HumanEval_96_count_up_to,True,True
multipl-e,go/HumanEval_97_multiply,True,True
multipl-e,java/HumanEval_116_sort_array,False,True
multipl-e,java/HumanEval_81_numerical_letter_grade,True,False
multipl-e,java/HumanEval_99_closest_integer,False,True
multipl-e,jl/HumanEval_102_choose_num,True,False
multipl-e,jl/HumanEval_147_get_max_triples,True,False
multipl-e,jl/HumanEval_20_find_closest_elements,True,False
multipl-e,jl/HumanEval_2_truncate_number,True,True
multipl-e,jl/HumanEval_31_is_prime,True,True
multipl-e,jl/HumanEval_53_add,True,True
multipl-e,jl/HumanEval_64_vowels_count,True,False
multipl-e,jl/HumanEval_70_strange_sort_list,True,True
multipl-e,jl/HumanEval_75_is_multiply_prime,True,False
multipl-e,jl/HumanEval_80_is_happy,True,True
multipl-e,jl/HumanEval_82_prime_length,True,True
multipl-e,js/HumanEval_10_make_palindrome,True,True
multipl-e,js/HumanEval_95_check_dict_case,False,True
multipl-e,lua/HumanEval_140_fix_spaces,False,True
multipl-e,lua/HumanEval_26_remove_duplicates,True,False
multipl-e,lua/HumanEval_27_flip_case,True,False
multipl-e,lua/HumanEval_92_any_int,True,False
multipl-e,php/HumanEval_101_words_string,True,False
multipl-e,php/HumanEval_148_bf,True,False
multipl-e,php/HumanEval_47_median,True,False
multipl-e,php/HumanEval_54_same_chars,True,False
multipl-e,pl/HumanEval_105_by_length,True,True
multipl-e,pl/HumanEval_111_histogram,True,False
multipl-e,pl/HumanEval_11_string_xor,True,True
multipl-e,pl/HumanEval_33_sort_third,False,True
multipl-e,pl/HumanEval_40_triples_sum_to_zero,True,True
multipl-e,pl/HumanEval_93_encode,True,False
multipl-e,r/HumanEval_108_count_nums,True,False
multipl-e,r/HumanEval_127_intersection,True,False
multipl-e,r/HumanEval_133_sum_squares,True,True
multipl-e,r/HumanEval_150_x_or_y,True,False
multipl-e,r/HumanEval_151_double_the_difference,True,False
multipl-e,r/HumanEval_17_parse_music,False,True
multipl-e,r/HumanEval_29_filter_by_prefix,False,True
multipl-e,r/HumanEval_3_below_zero,True,True
multipl-e,r/HumanEval_59_largest_prime_factor,True,False
multipl-e,r/HumanEval_73_smallest_change,True,True
multipl-e,r/HumanEval_75_is_multiply_prime,False,True
multipl-e,r/HumanEval_79_decimal_to_binary,True,False
multipl-e,r/HumanEval_93_encode,True,False
multipl-e,r/HumanEval_95_check_dict_case,True,False
multipl-e,r/HumanEval_98_count_upper,True,False
multipl-e,r/HumanEval_99_closest_integer,True,True
multipl-e,rb/HumanEval_158_find_max,False,True
multipl-e,rb/HumanEval_17_parse_music,True,True
multipl-e,rb/HumanEval_25_factorize,True,True
multipl-e,rb/HumanEval_4_mean_absolute_deviation,True,True
multipl-e,rb/HumanEval_84_solve,True,True
multipl-e,rs/HumanEval_116_sort_array,False,True
multipl-e,rs/HumanEval_121_solution,True,False
multipl-e,rs/HumanEval_130_tri,True,False
multipl-e,rs/HumanEval_132_is_nested,True,False
multipl-e,rs/HumanEval_24_largest_divisor,False,True
multipl-e,rs/HumanEval_44_change_base,True,True
multipl-e,rs/HumanEval_95_check_dict_case,True,False
multipl-e,sh/HumanEval_100_make_a_pile,False,True
multipl-e,sh/HumanEval_103_rounded_avg,True,False
multipl-e,sh/HumanEval_11_string_xor,True,False
multipl-e,sh/HumanEval_132_is_nested,True,False
multipl-e,sh/HumanEval_16_count_distinct_characters,True,True
multipl-e,sh/HumanEval_25_factorize,False,True
multipl-e,sh/HumanEval_4_mean_absolute_deviation,True,False
multipl-e,sh/HumanEval_6_parse_nested_parens,False,True
multipl-e,sh/HumanEval_83_starts_one_ends,True,False
multipl-e,ts/HumanEval_146_specialFilter,True,False
multipl-e,ts/HumanEval_77_iscube,True,True
multipl-e,ts/HumanEval_84_solve,True,False
plot2code,13,False,True
plot2code,105,True,False
plot2code,149,True,True
plot2code,199,True,False
plot2code,208,True,True
plot2code,219,False,True
plot2code,232,False,True
plot2code,234,False,True
plot2code,240,False,True
plot2code,242,False,True
plot2code,245,False,True
plot2code,256,False,True
plot2code,259,False,True
plot2code,263,False,True
plot2code,264,True,False
plot2code,268,True,True
plot2code,269,False,True
plot2code,271,False,True
plot2code,272,False,True
plot2code,273,False,True
plot2code,289,True,False
plot2code,298,True,False
plot2code,304,True,True
plot2code,313,True,False
plot2code,314,True,False
plot2code,316,True,True
plot2code,322,False,True
plot2code,331,True,False
plot2code,340,False,True
plot2code,342,False,True
plot2code,355,False,True
plot2code,357,True,True
plot2code,358,False,True
plot2code,360,True,True
