task_id,model_id,architecture,name,language,prompt,code,pass@1,tests
cpp/HumanEval_10_make_palindrome,ministral-8b-latest,SLM,HumanEval_10_make_palindrome,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Find the shortest palindrome that begins with a supplied string.
// Algorithm idea is simple:
// - Find the longest postfix of supplied string that is a palindrome.
// - Append to the end of the string reverse of a string prefix that comes before the palindromic suffix.
// >>> make_palindrome((""""))
// ("""")
// >>> make_palindrome((""cat""))
// (""catac"")
// >>> make_palindrome((""cata""))
// (""catac"")
std::string make_palindrome(std::string string) {
","    int n = string.length();
    if (n == 0) return string;

    std::string rev = string;
    std::reverse(rev.begin(), rev.end());

    int max_pal_len = 1;
    for (int i = 0; i < n; ++i) {
        if (string.substr(i) == rev.substr(0, n - i)) {
            max_pal_len = n - i;
            break;
        }
    }

    std::string prefix = string.substr(0, n - max_pal_len);
    std::string suffix = prefix;
    std::reverse(suffix.begin(), suffix.end());

    return string + suffix;
}",passed,"}
int main() {
    auto candidate = make_palindrome;
    assert(candidate(("""")) == (""""));
    assert(candidate((""x"")) == (""x""));
    assert(candidate((""xyz"")) == (""xyzyx""));
    assert(candidate((""xyx"")) == (""xyx""));
    assert(candidate((""jerry"")) == (""jerryrrej""));
}
"
cpp/HumanEval_11_string_xor,ministral-8b-latest,SLM,HumanEval_11_string_xor,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Input are two strings a and b consisting only of 1s and 0s.
// Perform binary XOR on these inputs and return result also as a string.
// >>> string_xor((""010""), (""110""))
// (""100"")
std::string string_xor(std::string a, std::string b) {
","#include<algorithm>
#include<string>

std::string string_xor(std::string a, std::string b) {
    // Equalize lengths by padding with leading zeros
    int max_len = std::max(a.size(), b.size());
    a = std::string(max_len - a.size(), '0') + a;
    b = std::string(max_len - b.size(), '0') + b;

    std::string result;
    for (int i = 0; i < max_len; ++i) {
        result += (a[i] != b[i]) ? '1' : '0';
    }
    return result;
}",passed,"}
int main() {
    auto candidate = string_xor;
    assert(candidate((""111000""), (""101010"")) == (""010010""));
    assert(candidate((""1""), (""1"")) == (""0""));
    assert(candidate((""0101""), (""0000"")) == (""0101""));
}
"
cpp/HumanEval_12_longest,ministral-8b-latest,SLM,HumanEval_12_longest,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Out of vector of strings, return the longest one. Return the first one in case of multiple
// strings of the same length. Return None in case the input vector is empty.
// >>> longest((std::vector<std::string>()))
// std::nullopt
// >>> longest((std::vector<std::string>({(std::string)""a"", (std::string)""b"", (std::string)""c""})))
// ""a""
// >>> longest((std::vector<std::string>({(std::string)""a"", (std::string)""bb"", (std::string)""ccc""})))
// ""ccc""
std::optional<std::string> longest(std::vector<std::string> strings) {
","std::optional<std::string> longest(std::vector<std::string> strings) {
    if (strings.empty()) {
        return std::nullopt;
    }

    std::string max_str = strings[0];
    for (const auto& str : strings) {
        if (str.length() > max_str.length()) {
            max_str = str;
        }
    }
    return max_str;
}",passed,"}
int main() {
    auto candidate = longest;
    assert(candidate((std::vector<std::string>())) == std::nullopt);
    assert(candidate((std::vector<std::string>({(std::string)""x"", (std::string)""y"", (std::string)""z""}))) == ""x"");
    assert(candidate((std::vector<std::string>({(std::string)""x"", (std::string)""yyy"", (std::string)""zzzz"", (std::string)""www"", (std::string)""kkkk"", (std::string)""abc""}))) == ""zzzz"");
}
"
cpp/HumanEval_13_greatest_common_divisor,ministral-8b-latest,SLM,HumanEval_13_greatest_common_divisor,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Return a greatest common divisor of two integers a and b
// >>> greatest_common_divisor((3), (5))
// (1)
// >>> greatest_common_divisor((25), (15))
// (5)
long greatest_common_divisor(long a, long b) {
","long greatest_common_divisor(long a, long b) {
    a = abs(a);
    b = abs(b);
    while (b != 0) {
        long temp = b;
        b = a % b;
        a = temp;
    }
    return a;
}",passed,"}
int main() {
    auto candidate = greatest_common_divisor;
    assert(candidate((3), (7)) == (1));
    assert(candidate((10), (15)) == (5));
    assert(candidate((49), (14)) == (7));
    assert(candidate((144), (60)) == (12));
}
"
cpp/HumanEval_14_all_prefixes,ministral-8b-latest,SLM,HumanEval_14_all_prefixes,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Return vector of all prefixes from shortest to longest of the input string
// >>> all_prefixes((""abc""))
// (std::vector<std::string>({(std::string)""a"", (std::string)""ab"", (std::string)""abc""}))
std::vector<std::string> all_prefixes(std::string string) {
","{
    std::vector<std::string> prefixes;
    for (size_t i = 1; i <= string.length(); ++i) {
        prefixes.push_back(string.substr(0, i));
    }
    return prefixes;
}",passed,"}
int main() {
    auto candidate = all_prefixes;
    assert(candidate(("""")) == (std::vector<std::string>()));
    assert(candidate((""asdfgh"")) == (std::vector<std::string>({(std::string)""a"", (std::string)""as"", (std::string)""asd"", (std::string)""asdf"", (std::string)""asdfg"", (std::string)""asdfgh""})));
    assert(candidate((""WWW"")) == (std::vector<std::string>({(std::string)""W"", (std::string)""WW"", (std::string)""WWW""})));
}
"
cpp/HumanEval_15_string_sequence,ministral-8b-latest,SLM,HumanEval_15_string_sequence,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Return a string containing space-delimited numbers starting from 0 upto n inclusive.
// >>> string_sequence((0))
// (""0"")
// >>> string_sequence((5))
// (""0 1 2 3 4 5"")
std::string string_sequence(long n) {
","std::string string_sequence(long n) {
    if (n < 0) return """"; // gestione caso limite n negativo (non specificato ma logico)
    std::ostringstream oss;
    for (long i = 0; i <= n; ++i) {
        if (i != 0) oss << "" "";
        oss << i;
    }
    return oss.str();
}",passed,"}
int main() {
    auto candidate = string_sequence;
    assert(candidate((0)) == (""0""));
    assert(candidate((3)) == (""0 1 2 3""));
    assert(candidate((10)) == (""0 1 2 3 4 5 6 7 8 9 10""));
}
"
cpp/HumanEval_16_count_distinct_characters,ministral-8b-latest,SLM,HumanEval_16_count_distinct_characters,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Given a string, find out how many distinct characters (regardless of case) does it consist of
// >>> count_distinct_characters((""xyzXYZ""))
// (3)
// >>> count_distinct_characters((""Jerry""))
// (4)
long count_distinct_characters(std::string string) {
","long count_distinct_characters(std::string str) {
    std::unordered_set<char> distinct_chars;
    for (char c : str) {
        distinct_chars.insert(tolower(c));
    }
    return distinct_chars.size();
}",SyntaxError,"}
int main() {
    auto candidate = count_distinct_characters;
    assert(candidate(("""")) == (0));
    assert(candidate((""abcde"")) == (5));
    assert(candidate((""abcdecadeCADE"")) == (5));
    assert(candidate((""aaaaAAAAaaaa"")) == (1));
    assert(candidate((""Jerry jERRY JeRRRY"")) == (5));
}
"
cpp/HumanEval_17_parse_music,ministral-8b-latest,SLM,HumanEval_17_parse_music,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Input to this function is a string representing musical notes in a special ASCII format.
// Your task is to parse this string and return vector of integers corresponding to how many beats does each
// not last.
// Here is a legend:
// 'o' - whole note, lasts four beats
// 'o|' - half note, lasts two beats
// '.|' - quater note, lasts one beat
// >>> parse_music((""o o| .| o| o| .| .| .| .| o o""))
// (std::vector<long>({(long)4, (long)2, (long)1, (long)2, (long)2, (long)1, (long)1, (long)1, (long)1, (long)4, (long)4}))
std::vector<long> parse_music(std::string music_string) {
","std::vector<long> parse_music(std::string music_string) {
    std::vector<long> result;
    std::istringstream iss(music_string);
    std::string token;

    while (iss >> token) {
        if (token == ""o"") {
            result.push_back(4);
        } else if (token == ""o|"") {
            result.push_back(2);
        } else if (token == "".|"") {
            result.push_back(1);
        }
    }

    return result;
}",passed,"}
int main() {
    auto candidate = parse_music;
    assert(candidate(("""")) == (std::vector<long>()));
    assert(candidate((""o o o o"")) == (std::vector<long>({(long)4, (long)4, (long)4, (long)4})));
    assert(candidate(("".| .| .| .|"")) == (std::vector<long>({(long)1, (long)1, (long)1, (long)1})));
    assert(candidate((""o| o| .| .| o o o o"")) == (std::vector<long>({(long)2, (long)2, (long)1, (long)1, (long)4, (long)4, (long)4, (long)4})));
    assert(candidate((""o| .| o| .| o o| o o|"")) == (std::vector<long>({(long)2, (long)1, (long)2, (long)1, (long)4, (long)2, (long)4, (long)2})));
}
"
cpp/HumanEval_18_how_many_times,ministral-8b-latest,SLM,HumanEval_18_how_many_times,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Find how many times a given substring can be found in the original string. Count overlaping cases.
// >>> how_many_times((""""), (""a""))
// (0)
// >>> how_many_times((""aaa""), (""a""))
// (3)
// >>> how_many_times((""aaaa""), (""aa""))
// (3)
long how_many_times(std::string string, std::string substring) {
","long how_many_times(std::string string, std::string substring) {
    if (substring.empty() || string.empty() || substring.length() > string.length()) {
        return 0;
    }
    long count = 0;
    size_t pos = 0;
    while ((pos = string.find(substring, pos)) != std::string::npos) {
        ++count;
        pos += 1; // Overlapping case
    }
    return count;
}",passed,"}
int main() {
    auto candidate = how_many_times;
    assert(candidate((""""), (""x"")) == (0));
    assert(candidate((""xyxyxyx""), (""x"")) == (4));
    assert(candidate((""cacacacac""), (""cac"")) == (4));
    assert(candidate((""john doe""), (""john"")) == (1));
}
"
cpp/HumanEval_19_sort_numbers,ministral-8b-latest,SLM,HumanEval_19_sort_numbers,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// Input is a space-delimited string of numberals from 'zero' to 'nine'.
// Valid choices are 'zero', 'one', 'two', 'three', 'four', 'five', 'six', 'seven', 'eight' and 'nine'.
// Return the string with numbers sorted from smallest to largest
// >>> sort_numbers((""three one five""))
// (""one three five"")
std::string sort_numbers(std::string numbers) {
","#include <vector>
#include <algorithm>
#include <sstream>
#include <unordered_map>

std::string sort_numbers(std::string numbers) {
    std::unordered_map<std::string, int> word_to_num = {
        {""zero"", 0}, {""one"", 1}, {""two"", 2}, {""three"", 3}, {""four"", 4},
        {""five"", 5}, {""six"", 6}, {""seven"", 7}, {""eight"", 8}, {""nine"", 9}
    };

    std::vector<std::pair<std::string, int>> words;
    std::istringstream iss(numbers);
    std::string word;

    while (iss >> word) {
        words.emplace_back(word, word_to_num[word]);
    }

    std::sort(words.begin(), words.end(), [](const auto& a, const auto& b) {
        return a.second < b.second;
    });

    std::ostringstream oss;
    for (size_t i = 0; i < words.size(); ++i) {
        if (i != 0) oss << "" "";
        oss << words[i].first;
    }

    return oss.str();
}",passed,"}
int main() {
    auto candidate = sort_numbers;
    assert(candidate(("""")) == (""""));
    assert(candidate((""three"")) == (""three""));
    assert(candidate((""three five nine"")) == (""three five nine""));
    assert(candidate((""five zero four seven nine eight"")) == (""zero four five seven eight nine""));
    assert(candidate((""six five four three two one zero"")) == (""zero one two three four five six""));
}
"
cpp/HumanEval_20_find_closest_elements,ministral-8b-latest,SLM,HumanEval_20_find_closest_elements,cpp,"#include<assert.h>
#include<bits/stdc++.h>
// From a supplied vector of numbers (of length at least two) select and return two that are the closest to each
// other and return them in order (smaller number, larger number).
// >>> find_closest_elements((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.2f})))
// (std::make_tuple(2.0f, 2.2f))
// >>> find_closest_elements((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f})))
// (std::make_tuple(2.0f, 2.0f))
std::tuple<float, float> find_closest_elements(std::vector<float> numbers) {
","std::tuple<float, float> find_closest_elements(std::vector<float> numbers) {
    if (numbers.size() < 2) {
        return std::make_tuple(0.0f, 0.0f); // gestione caso limite (anche se input dice >=2)
    }

    float min_diff = std::numeric_limits<float>::max();
    float first = 0.0f, second = 0.0f;

    for (size_t i = 0; i < numbers.size(); ++i) {
        for (size_t j = i + 1; j < numbers.size(); ++j) {
            float diff = std::abs(numbers[i] - numbers[j]);
            if (diff < min_diff) {
                min_diff = diff;
                if (numbers[i] < numbers[j]) {
                    first = numbers[i];
                    second = numbers[j];
                } else {
                    first = numbers[j];
                    second = numbers[i];
                }
            }
        }
    }

    return std::make_tuple(first, second);
}",passed,"}
int main() {
    auto candidate = find_closest_elements;
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.9f, (float)4.0f, (float)5.0f, (float)2.2f}))) == (std::make_tuple(3.9f, 4.0f)));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)5.9f, (float)4.0f, (float)5.0f}))) == (std::make_tuple(5.0f, 5.9f)));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.2f}))) == (std::make_tuple(2.0f, 2.2f)));
    assert(candidate((std::vector<float>({(float)1.0f, (float)2.0f, (float)3.0f, (float)4.0f, (float)5.0f, (float)2.0f}))) == (std::make_tuple(2.0f, 2.0f)));
    assert(candidate((std::vector<float>({(float)1.1f, (float)2.2f, (float)3.1f, (float)4.1f, (float)5.1f}))) == (std::make_tuple(2.2f, 3.1f)));
}
"
